@RELATION pcap
@ATTRIBUTE frameNum NUMERIC
@ATTRIBUTE frameStat_0 NUMERIC
@ATTRIBUTE frameStat_1 NUMERIC
@ATTRIBUTE frameStat_2 NUMERIC
@ATTRIBUTE frameStat_3 NUMERIC
@ATTRIBUTE frameStat_4 NUMERIC
@ATTRIBUTE frameStat_5 NUMERIC
@ATTRIBUTE frameStat_6 NUMERIC
@ATTRIBUTE epoStat_0 NUMERIC
@ATTRIBUTE epoStat_1 NUMERIC
@ATTRIBUTE epoStat_2 NUMERIC
@ATTRIBUTE epoStat_3 NUMERIC
@ATTRIBUTE epoStat_4 NUMERIC
@ATTRIBUTE epoStat_5 NUMERIC
@ATTRIBUTE epoStat_6 NUMERIC
@ATTRIBUTE upStat_0 NUMERIC
@ATTRIBUTE upStat_1 NUMERIC
@ATTRIBUTE upStat_2 NUMERIC
@ATTRIBUTE upStat_3 NUMERIC
@ATTRIBUTE upStat_4 NUMERIC
@ATTRIBUTE upStat_5 NUMERIC
@ATTRIBUTE upStat_6 NUMERIC
@ATTRIBUTE non_httpFrameNum NUMERIC
@ATTRIBUTE upCounter NUMERIC
@ATTRIBUTE class {0, 1, 2}

@DATA
11,54,302,102.0,56,90.8585313951,1.63178956419,3.71028345479,0.000243902206421,43.3146049976,5.51924748421,0.386627554893,12.8053642667,2.51979449328,7.61068512612,54,302,95.1428571429,54,84.8989795857,1.99691418222,5.06732144365,9,7,0
12,54,695,162.083333333,65.0,195.393815295,1.75959054678,4.86268778918,9.20295715332e-05,0.162750005722,0.0452659130096,0.00155687332153,0.0679276232477,0.998619341353,2.04456914358,54,695,209.833333333,191.0,238.276042065,1.25654209998,2.9839336475,9,6,0
15,54,1440,460.466666667,62,544.346931857,0.807671565391,1.90371513971,0.000121831893921,0.349884033203,0.0646187918527,0.000763058662415,0.107598857624,1.45486330837,3.90871261836,54,1143,295.222222222,54,446.028344335,1.33635586899,2.78810252989,9,9,0
15,66,557,157.6,74,139.018847643,1.65045787898,4.92465562603,0.000153064727783,50.5292048454,4.08156691279,0.108582019806,12.9561602755,3.26612330113,11.8060684946,66,189,105.777777778,66,54.4890973351,0.708745032664,1.52172772651,9,9,0
12,54,1144,180.25,61.0,299.663178975,2.72623544025,8.93846474024,0.0001220703125,0.184813976288,0.057683727958,0.00128197669983,0.0789847077374,0.862571281419,1.87771447942,54,1144,232.857142857,54,375.068537954,1.97504283969,5.00929969497,9,7,0
11,66,428,126.181818182,66,125.040951969,1.71565452132,4.058758127,0.000152111053467,46.5968019962,5.22389838696,0.101150631905,13.8719021933,2.6119563473,7.9278792934,66,428,127.666666667,70.0,134.344912652,1.78696859653,4.19656718064,9,6,0
12,54,375,98.25,61.0,92.917638261,2.26584512034,6.73858698769,0.000152111053467,50.3989870548,4.62918927453,0.000762939453125,14.4740868034,2.84575819671,9.09901175142,54,375,104.428571429,54,110.701473913,2.02291165697,5.12568754373,9,7,0
10,66,275,100.4,70.0,67.9237808135,1.80204035554,4.65074993165,0.000152826309204,0.573974847794,0.125847763485,0.0057680606842,0.178429808034,1.58657953785,4.55155413665,66,275,102.166666667,70.0,77.3485976315,1.78320483866,4.18958638527,8,6,0
11,66,707,150.454545455,66,192.243862007,2.22474281554,6.49616680443,0.000123023986816,50.4741508961,5.11985170841,0.0940095186234,15.1185308263,2.66638203762,8.11022336502,66,338,106.0,66,94.7538163574,2.03765255942,5.1586748852,9,7,0
11,66,801,209.909090909,74,243.47800145,1.40217003121,3.50701425748,0.0001220703125,3.00753808022,0.533627319336,0.216567993164,0.888124935128,2.09400135062,6.0983406948,66,478,171.0,70.0,177.276620004,1.15353003971,2.3324167176,8,8,0
11,66,1440,304.818181818,66,448.593522869,1.69182976752,4.2821429067,0.0001220703125,55.2878420353,5.5803894043,0.0801695585251,16.5693264059,2.66656080568,8.1107814397,66,378,111.714285714,66,108.745724758,2.03851183686,5.16060554426,8,7,0
11,66,781,184.545454545,66,249.563023061,1.70602558035,4.00521679945,0.000365972518921,22.9392089844,3.36477959156,0.11720252037,7.17249786134,2.03725536021,5.65878638026,66,639,162.833333333,70.0,212.968242286,1.78810140735,4.19863802678,9,6,0
68,54,1414,631.102941176,70.0,663.4806868,0.313250104291,1.1131087317,6.103515625e-05,10.3759760857,0.262389222188,0.000488996505737,1.30643099715,7.06116554924,53.900074532,54,179,61.3428571429,54,21.2481163631,4.84137996712,26.88245087,38,35,0
17,54,1414,171.0,54,324.491276054,3.29014723037,12.6895185346,0.000304937362671,14.9200441837,2.41576194763,0.61099255085,3.91835386683,2.06816636559,6.74639463929,54,322,78.0,54.0,73.7744309817,2.98618057407,9.98069847403,14,12,0
393,66,1440,900.450381679,1440,655.355171041,-0.435255519414,1.23193133319,3.00407409668e-05,46.242675066,0.133100234732,0.000244140625,2.33360192166,19.6795352666,388.840651779,66,613,104.462585034,66,135.071524117,3.23469897264,11.4718246224,360,147,0
11,66,316,107.636363636,66,85.5052074196,1.72534604909,4.11522432488,0.000152826309204,0.226166009903,0.0781861066818,0.0388185977936,0.0972631626978,0.738687682543,1.68024958061,66,316,109.0,70.0,92.6192924467,1.78490345454,4.1927524221,9,6,0
12,66,1440,223.416666667,70.0,380.888097813,2.67736295847,8.70158341177,0.0001220703125,50.7694702148,5.18654008345,0.0348808765411,14.4978735617,2.78987539027,8.89636964932,66,202,86.5714285714,66,47.2042889784,2.02698668531,5.13422937319,9,7,0
44,54,1440,464.25,61.0,568.386317289,0.94711195365,2.13669330458,6.103515625e-05,43.1962578297,1.31740908845,0.000427007675171,6.63088402591,5.90226222817,37.067778736,54,790,143.12,54,238.908236777,2.33752366216,6.46642553088,35,25,0
10,66,759,165.0,70.0,214.785474369,2.10204320386,5.93467994858,0.000214099884033,55.1464838982,6.2308011055,0.0927419662476,17.2947361052,2.47463622362,7.12432756748,66,347,114.166666667,70.0,104.167199999,1.78572615479,4.19427721555,8,6,0
11,66,1281,206.090909091,66,351.176323116,2.56725755396,8.00456121288,0.000304937362671,0.561798095703,0.110888719559,0.0874484777451,0.168960350636,1.76295508947,5.17863157708,66,1281,240.714285714,66,424.703834382,2.0410609171,5.16627157264,9,7,0
236,54,1440,716.025423729,66.0,688.75465438,0.0963192780969,1.01353658155,0.0,28.9211118221,0.21662740403,0.000335931777954,2.24536584924,11.3471827369,134.117542673,54,190,58.2,54.0,13.2146383479,8.30810423387,82.516958588,233,120,0
50,54,1440,605.1,59.0,652.69092992,0.426993543389,1.25263191255,2.98023223877e-05,1.32977318764,0.0513654485041,0.000243902206421,0.19347902542,5.90705303145,38.9263882076,54,1440,206.615384615,54.0,388.701494814,2.51524991445,7.93886225473,28,26,0
12,54,1144,180.25,61.0,299.663178975,2.72623544025,8.93846474024,0.000334978103638,5.36694407463,0.537617011504,0.0011899471283,1.52911000771,2.83292696744,9.0552273766,54,1144,232.857142857,54,375.068537954,1.97504283969,5.00929969497,9,7,0
9,66,656,154.888888889,66,187.009473583,2.07989519101,5.77570188431,0.000121831893921,0.301728010178,0.096382111311,0.102478027344,0.1136659912,0.649029210779,1.78413222031,66,260,99.6666666667,70.0,71.7627263201,1.7822996275,4.18789049329,7,6,0
12,66,1092,185.416666667,70.0,283.28738598,2.68473679358,8.76622137073,0.000121831893921,0.179901123047,0.057808637619,0.00186204910278,0.0785370304134,0.774929227409,1.73567759212,66,1092,234.571428571,66,353.582020043,1.96182241045,4.9756694053,9,7,0
11,66,1440,301.181818182,66,443.145536976,1.72396548521,4.44120488156,9.17911529541e-05,56.2733449936,5.70016479492,0.0863344669342,16.8581546471,2.66641336224,8.11032075631,66,378,111.714285714,66,108.745724758,2.03851183686,5.16060554426,8,7,0
23,66,1078,333.434782609,66,410.098273067,1.12491793475,2.47917141412,0.000152111053467,29.5210270882,1.39188450033,0.000365972518921,6.13937935427,4.36180278987,20.0333788673,66,485,101.583333333,66.0,115.625442942,3.01316595591,10.08376558,20,12,0
10,66,693,161.7,70.0,200.067013773,1.92019921327,5.15398822878,0.000153064727783,0.1618039608,0.05567767885,0.005126953125,0.07505135434,0.703958797774,1.49991580485,66,693,171.833333333,70.0,233.091124289,1.78822549272,4.19886354866,8,6,0
15,54,1440,318.533333333,56,441.289454012,1.41395975223,3.52936390705,0.000152826309204,55.6336050034,4.05855670997,0.100662469864,14.3047519467,3.32787002067,12.07557364,54,1440,373.444444444,54,485.12933238,1.17895286468,2.91170731479,10,9,0
10,54,1336,277.1,61.0,444.552010455,1.62688794741,3.83922847414,0.000213861465454,0.182068109512,0.0742221143511,0.00534105300903,0.0829976228518,0.377463114504,1.26662072908,54,965,240.2,54,362.482772004,1.49830046126,3.24769257013,8,5,0
10,66,388,122.5,70.0,111.093879219,1.63089729956,3.86430866292,0.0001220703125,3.15652489662,0.451002332899,0.0269169807434,0.965080266067,2.39259394993,6.88792237721,66,388,121.0,70.0,119.441757076,1.78647141324,4.19565283905,8,6,0
