inst#,actual,predicted,error,prediction
1,1:0,1:0,,1
2,1:0,2:1,+,1
3,1:0,1:0,,0.993
4,1:0,1:0,,1
5,1:0,1:0,,0.993
6,1:0,1:0,,0.788
7,1:0,1:0,,0.999
8,1:0,2:1,+,0.973
9,1:0,1:0,,1
10,1:0,1:0,,1
11,1:0,1:0,,0.989
12,1:0,1:0,,1
13,1:0,1:0,,0.993
14,1:0,1:0,,0.993
15,1:0,1:0,,0.999
16,1:0,1:0,,1
17,1:0,1:0,,0.999
18,1:0,2:1,+,1
19,1:0,1:0,,0.989
20,1:0,1:0,,0.999
21,1:0,1:0,,1
22,1:0,1:0,,0.993
23,1:0,1:0,,1
24,1:0,1:0,,1
25,1:0,1:0,,1
26,1:0,1:0,,0.968
27,1:0,1:0,,0.998
28,1:0,1:0,,0.993
29,1:0,1:0,,1
30,1:0,1:0,,0.993
31,1:0,1:0,,1
32,1:0,1:0,,0.987
33,1:0,1:0,,0.999
34,1:0,1:0,,1
35,1:0,1:0,,1
36,1:0,1:0,,0.999
37,1:0,1:0,,0.986
38,1:0,1:0,,1
39,1:0,1:0,,0.993
40,1:0,1:0,,1
41,1:0,1:0,,1
42,1:0,1:0,,1
43,1:0,1:0,,1
44,1:0,1:0,,0.993
45,1:0,1:0,,0.999
46,1:0,1:0,,0.999
47,1:0,1:0,,0.998
48,1:0,1:0,,0.999
49,1:0,1:0,,0.998
50,1:0,1:0,,0.993
51,1:0,1:0,,0.993
52,1:0,1:0,,1
53,1:0,1:0,,0.993
54,1:0,1:0,,0.995
55,1:0,1:0,,0.998
56,1:0,1:0,,0.999
57,1:0,1:0,,0.993
58,1:0,1:0,,0.993
59,1:0,2:1,+,0.821
60,1:0,1:0,,0.993
61,1:0,1:0,,1
62,1:0,1:0,,1
63,1:0,1:0,,1
64,1:0,1:0,,1
65,1:0,1:0,,1
66,1:0,1:0,,1
67,1:0,1:0,,1
68,1:0,1:0,,0.994
69,1:0,1:0,,1
70,1:0,1:0,,0.997
71,1:0,1:0,,0.993
72,1:0,1:0,,0.993
73,1:0,1:0,,1
74,1:0,1:0,,0.885
75,1:0,1:0,,0.993
76,1:0,1:0,,1
77,1:0,1:0,,0.996
78,1:0,1:0,,0.993
79,1:0,1:0,,0.993
80,1:0,1:0,,1
81,1:0,1:0,,0.993
82,1:0,1:0,,0.988
83,1:0,1:0,,0.993
84,1:0,1:0,,0.996
85,1:0,1:0,,1
86,1:0,1:0,,0.993
87,1:0,1:0,,0.993
88,1:0,1:0,,0.927
89,1:0,1:0,,1
90,1:0,1:0,,1
91,1:0,1:0,,1
92,2:1,2:1,,1
93,2:1,2:1,,1
94,2:1,2:1,,1
95,2:1,2:1,,1
96,2:1,2:1,,0.505
97,2:1,1:0,+,0.873
98,2:1,1:0,+,0.977
99,2:1,2:1,,0.934
100,2:1,2:1,,1
101,2:1,2:1,,0.716
102,2:1,2:1,,1
103,2:1,2:1,,1
104,2:1,2:1,,1
105,2:1,2:1,,1
106,2:1,2:1,,0.814
107,2:1,2:1,,1
108,2:1,1:0,+,0.593
109,2:1,2:1,,0.848
110,2:1,2:1,,0.907
111,2:1,1:0,+,0.998
112,2:1,2:1,,1
113,2:1,2:1,,1
114,2:1,1:0,+,0.933
115,2:1,2:1,,1
116,2:1,1:0,+,0.986
117,2:1,2:1,,1
118,2:1,1:0,+,0.83
119,2:1,2:1,,1
120,2:1,1:0,+,0.984
121,2:1,2:1,,1
122,2:1,2:1,,0.996
123,2:1,1:0,+,0.765
124,2:1,1:0,+,0.999
125,2:1,2:1,,0.93
126,2:1,1:0,+,0.999
127,2:1,1:0,+,0.938
128,2:1,2:1,,1
129,2:1,1:0,+,0.99
130,2:1,2:1,,1
131,2:1,2:1,,0.941
132,2:1,2:1,,1
133,2:1,2:1,,1
134,2:1,1:0,+,1
135,2:1,1:0,+,0.999
136,2:1,2:1,,1
137,2:1,2:1,,1
138,2:1,2:1,,1
139,2:1,1:0,+,1
140,2:1,2:1,,1
141,2:1,2:1,,0.889
142,2:1,2:1,,1
143,2:1,2:1,,0.989
144,2:1,2:1,,0.966
145,2:1,1:0,+,0.577
146,2:1,2:1,,1
147,2:1,2:1,,1
148,2:1,2:1,,0.827
149,2:1,2:1,,1
150,2:1,1:0,+,0.663
151,2:1,1:0,+,0.504
152,2:1,2:1,,1
153,2:1,2:1,,1
154,2:1,1:0,+,0.972
155,2:1,2:1,,1
1,1:0,1:0,,0.998
2,1:0,1:0,,0.999
3,1:0,1:0,,1
4,1:0,1:0,,0.969
5,1:0,1:0,,0.983
6,1:0,1:0,,0.988
7,1:0,1:0,,1
8,1:0,1:0,,1
9,1:0,1:0,,1
10,1:0,1:0,,1
11,1:0,1:0,,1
12,1:0,1:0,,1
13,1:0,1:0,,0.999
14,1:0,1:0,,1
15,1:0,1:0,,0.998
16,1:0,1:0,,1
17,1:0,1:0,,1
18,1:0,1:0,,0.919
19,1:0,1:0,,1
20,1:0,1:0,,0.999
21,1:0,1:0,,1
22,1:0,2:1,+,0.6
23,1:0,1:0,,1
24,1:0,1:0,,0.999
25,1:0,1:0,,1
26,1:0,1:0,,0.991
27,1:0,1:0,,0.991
28,1:0,1:0,,1
29,1:0,1:0,,0.995
30,1:0,1:0,,0.991
31,1:0,1:0,,0.996
32,1:0,1:0,,0.934
33,1:0,1:0,,1
34,1:0,1:0,,1
35,1:0,1:0,,1
36,1:0,1:0,,1
37,1:0,1:0,,1
38,1:0,1:0,,0.991
39,1:0,1:0,,1
40,1:0,1:0,,0.991
41,1:0,1:0,,0.994
42,1:0,1:0,,0.991
43,1:0,1:0,,0.997
44,1:0,1:0,,0.958
45,1:0,1:0,,0.998
46,1:0,1:0,,1
47,1:0,1:0,,1
48,1:0,1:0,,1
49,1:0,1:0,,0.999
50,1:0,1:0,,0.961
51,1:0,1:0,,0.991
52,1:0,1:0,,0.991
53,1:0,1:0,,0.996
54,1:0,1:0,,0.978
55,1:0,1:0,,0.986
56,1:0,1:0,,1
57,1:0,1:0,,0.907
58,1:0,1:0,,1
59,1:0,1:0,,1
60,1:0,1:0,,1
61,1:0,1:0,,0.997
62,1:0,1:0,,0.998
63,1:0,1:0,,1
64,1:0,1:0,,1
65,1:0,1:0,,0.991
66,1:0,1:0,,1
67,1:0,1:0,,1
68,1:0,1:0,,0.991
69,1:0,1:0,,0.991
70,1:0,1:0,,1
71,1:0,1:0,,1
72,1:0,1:0,,0.991
73,1:0,1:0,,1
74,1:0,1:0,,1
75,1:0,1:0,,0.991
76,1:0,2:1,+,0.606
77,1:0,1:0,,0.991
78,1:0,1:0,,0.83
79,1:0,1:0,,1
80,1:0,1:0,,0.996
81,1:0,1:0,,0.991
82,1:0,1:0,,1
83,1:0,1:0,,1
84,1:0,1:0,,0.516
85,1:0,1:0,,1
86,1:0,1:0,,1
87,1:0,1:0,,1
88,1:0,1:0,,1
89,1:0,2:1,+,0.81
90,1:0,1:0,,1
91,1:0,1:0,,0.998
92,2:1,2:1,,1
93,2:1,1:0,+,0.566
94,2:1,2:1,,0.867
95,2:1,2:1,,1
96,2:1,1:0,+,0.862
97,2:1,1:0,+,0.534
98,2:1,2:1,,1
99,2:1,2:1,,1
100,2:1,2:1,,0.99
101,2:1,2:1,,1
102,2:1,2:1,,0.509
103,2:1,2:1,,0.945
104,2:1,2:1,,1
105,2:1,2:1,,1
106,2:1,2:1,,1
107,2:1,2:1,,0.986
108,2:1,2:1,,1
109,2:1,2:1,,1
110,2:1,2:1,,1
111,2:1,2:1,,1
112,2:1,2:1,,1
113,2:1,1:0,+,0.753
114,2:1,1:0,+,0.987
115,2:1,2:1,,0.679
116,2:1,2:1,,1
117,2:1,2:1,,0.958
118,2:1,2:1,,0.8
119,2:1,2:1,,1
120,2:1,1:0,+,0.937
121,2:1,2:1,,1
122,2:1,2:1,,0.999
123,2:1,2:1,,0.606
124,2:1,2:1,,0.606
125,2:1,1:0,+,1
126,2:1,2:1,,1
127,2:1,2:1,,1
128,2:1,2:1,,1
129,2:1,2:1,,0.575
130,2:1,2:1,,1
131,2:1,2:1,,1
132,2:1,1:0,+,0.861
133,2:1,2:1,,0.999
134,2:1,2:1,,0.606
135,2:1,2:1,,1
136,2:1,2:1,,1
137,2:1,2:1,,0.637
138,2:1,2:1,,1
139,2:1,1:0,+,0.861
140,2:1,2:1,,1
141,2:1,2:1,,1
142,2:1,2:1,,0.606
143,2:1,2:1,,0.637
144,2:1,2:1,,0.562
145,2:1,1:0,+,1
146,2:1,1:0,+,0.933
147,2:1,1:0,+,0.552
148,2:1,2:1,,1
149,2:1,1:0,+,0.999
150,2:1,2:1,,1
151,2:1,2:1,,1
152,2:1,1:0,+,0.931
153,2:1,2:1,,0.999
154,2:1,2:1,,0.961
155,2:1,2:1,,1
1,1:0,1:0,,1
2,1:0,1:0,,1
3,1:0,2:1,+,0.572
4,1:0,1:0,,0.998
5,1:0,1:0,,0.986
6,1:0,1:0,,0.992
7,1:0,1:0,,0.992
8,1:0,1:0,,1
9,1:0,1:0,,1
10,1:0,1:0,,0.996
11,1:0,1:0,,0.999
12,1:0,1:0,,0.992
13,1:0,1:0,,1
14,1:0,2:1,+,1
15,1:0,1:0,,0.999
16,1:0,1:0,,0.999
17,1:0,1:0,,0.968
18,1:0,1:0,,1
19,1:0,1:0,,0.965
20,1:0,1:0,,1
21,1:0,1:0,,0.982
22,1:0,1:0,,1
23,1:0,1:0,,1
24,1:0,2:1,+,0.935
25,1:0,1:0,,0.999
26,1:0,1:0,,0.999
27,1:0,1:0,,1
28,1:0,1:0,,0.992
29,1:0,1:0,,0.999
30,1:0,1:0,,0.996
31,1:0,1:0,,1
32,1:0,1:0,,1
33,1:0,1:0,,1
34,1:0,1:0,,1
35,1:0,1:0,,0.999
36,1:0,2:1,+,0.622
37,1:0,1:0,,0.992
38,1:0,1:0,,0.999
39,1:0,1:0,,1
40,1:0,1:0,,0.992
41,1:0,1:0,,0.992
42,1:0,1:0,,0.992
43,1:0,1:0,,0.996
44,1:0,1:0,,1
45,1:0,1:0,,0.992
46,1:0,1:0,,1
47,1:0,1:0,,1
48,1:0,1:0,,0.992
49,1:0,1:0,,1
50,1:0,1:0,,0.992
51,1:0,1:0,,1
52,1:0,1:0,,1
53,1:0,1:0,,0.999
54,1:0,1:0,,0.992
55,1:0,1:0,,1
56,1:0,1:0,,1
57,1:0,1:0,,1
58,1:0,1:0,,1
59,1:0,1:0,,1
60,1:0,1:0,,0.999
61,1:0,1:0,,0.992
62,1:0,1:0,,1
63,1:0,1:0,,1
64,1:0,1:0,,1
65,1:0,1:0,,0.992
66,1:0,1:0,,0.992
67,1:0,1:0,,0.992
68,1:0,1:0,,1
69,1:0,1:0,,0.992
70,1:0,1:0,,0.996
