inst#,actual,predicted,error,prediction
1,1:0,1:0,,0.83
2,1:0,1:0,,0.899
3,1:0,1:0,,0.96
4,1:0,1:0,,0.937
5,1:0,1:0,,0.96
6,1:0,1:0,,0.618
7,1:0,1:0,,1
8,1:0,2:1,+,0.514
9,1:0,1:0,,0.69
10,1:0,1:0,,0.947
11,1:0,1:0,,0.558
12,1:0,1:0,,0.952
13,1:0,1:0,,0.96
14,1:0,1:0,,0.96
15,1:0,1:0,,0.888
16,1:0,1:0,,0.79
17,1:0,1:0,,0.82
18,1:0,2:1,+,0.566
19,1:0,1:0,,0.748
20,1:0,1:0,,0.965
21,1:0,1:0,,0.79
22,1:0,1:0,,0.96
23,1:0,1:0,,0.99
24,1:0,1:0,,0.805
25,1:0,1:0,,0.99
26,1:0,1:0,,0.818
27,1:0,1:0,,0.751
28,1:0,1:0,,0.96
29,1:0,1:0,,0.989
30,1:0,1:0,,0.96
31,1:0,1:0,,1
32,1:0,1:0,,0.959
33,1:0,1:0,,0.779
34,1:0,1:0,,0.96
35,1:0,1:0,,0.878
36,1:0,1:0,,0.969
37,1:0,1:0,,0.753
38,1:0,1:0,,0.798
39,1:0,1:0,,0.96
40,1:0,1:0,,0.839
41,1:0,1:0,,1
42,1:0,1:0,,0.989
43,1:0,1:0,,0.98
44,1:0,1:0,,0.96
45,1:0,1:0,,0.768
46,1:0,1:0,,0.579
47,1:0,1:0,,0.899
48,1:0,1:0,,0.911
49,1:0,1:0,,0.779
50,1:0,1:0,,0.96
51,1:0,1:0,,0.757
52,1:0,1:0,,0.87
53,1:0,1:0,,0.96
54,1:0,1:0,,0.809
55,1:0,1:0,,0.984
56,1:0,1:0,,0.904
57,1:0,1:0,,0.96
58,1:0,1:0,,0.96
59,1:0,2:1,+,0.6
60,1:0,1:0,,0.96
61,1:0,1:0,,0.899
62,1:0,1:0,,0.97
63,1:0,1:0,,0.978
64,1:0,1:0,,0.98
65,1:0,1:0,,0.68
66,1:0,1:0,,0.781
67,1:0,1:0,,0.852
68,1:0,1:0,,0.586
69,1:0,1:0,,0.838
70,1:0,1:0,,0.565
71,1:0,1:0,,0.96
72,1:0,1:0,,0.96
73,1:0,1:0,,0.97
74,1:0,1:0,,0.609
75,1:0,1:0,,0.96
76,1:0,1:0,,0.98
77,1:0,1:0,,0.989
78,1:0,1:0,,0.96
79,1:0,1:0,,0.96
80,1:0,1:0,,0.979
81,1:0,1:0,,0.96
82,1:0,1:0,,0.741
83,1:0,1:0,,0.96
84,1:0,1:0,,0.79
85,1:0,1:0,,0.719
86,1:0,1:0,,0.96
87,1:0,1:0,,0.96
88,1:0,1:0,,0.744
89,1:0,1:0,,0.857
90,1:0,1:0,,1
91,1:0,1:0,,0.949
92,2:1,2:1,,0.794
93,2:1,2:1,,0.767
94,2:1,2:1,,0.64
95,2:1,2:1,,0.741
96,2:1,2:1,,0.579
97,2:1,2:1,,0.683
98,2:1,1:0,+,0.819
99,2:1,2:1,,0.721
100,2:1,2:1,,0.813
101,2:1,1:0,+,0.535
102,2:1,2:1,,1
103,2:1,2:1,,0.93
104,2:1,2:1,,1
105,2:1,2:1,,1
106,2:1,2:1,,0.88
107,2:1,2:1,,1
108,2:1,2:1,,0.973
109,2:1,1:0,+,0.616
110,2:1,2:1,,0.768
111,2:1,1:0,+,0.758
112,2:1,2:1,,0.953
113,2:1,2:1,,0.74
114,2:1,1:0,+,0.665
115,2:1,2:1,,0.87
116,2:1,1:0,+,0.957
117,2:1,2:1,,0.951
118,2:1,2:1,,0.54
119,2:1,2:1,,1
120,2:1,1:0,+,0.759
121,2:1,2:1,,0.87
122,2:1,2:1,,0.815
123,2:1,1:0,+,0.803
124,2:1,1:0,+,0.66
125,2:1,2:1,,0.882
126,2:1,1:0,+,0.927
127,2:1,2:1,,0.923
128,2:1,2:1,,0.99
129,2:1,1:0,+,0.96
130,2:1,2:1,,0.912
131,2:1,2:1,,0.804
132,2:1,2:1,,0.843
133,2:1,2:1,,0.931
134,2:1,2:1,,0.71
135,2:1,1:0,+,0.651
136,2:1,2:1,,1
137,2:1,2:1,,0.961
138,2:1,2:1,,1
139,2:1,1:0,+,0.61
140,2:1,2:1,,0.811
141,2:1,2:1,,0.85
142,2:1,2:1,,0.875
143,2:1,2:1,,0.632
144,2:1,2:1,,0.75
145,2:1,2:1,,0.592
146,2:1,2:1,,0.78
147,2:1,2:1,,1
148,2:1,2:1,,0.851
149,2:1,2:1,,0.81
150,2:1,2:1,,0.99
151,2:1,2:1,,0.584
152,2:1,2:1,,0.99
153,2:1,2:1,,0.88
154,2:1,1:0,+,0.617
155,2:1,2:1,,0.79
1,1:0,1:0,,1
2,1:0,1:0,,1
3,1:0,1:0,,0.989
4,1:0,1:0,,0.557
5,1:0,1:0,,0.763
6,1:0,1:0,,0.963
7,1:0,1:0,,0.953
8,1:0,1:0,,0.889
9,1:0,1:0,,0.899
10,1:0,1:0,,0.976
11,1:0,1:0,,0.98
12,1:0,1:0,,0.99
13,1:0,1:0,,0.723
14,1:0,1:0,,0.948
15,1:0,1:0,,0.947
16,1:0,1:0,,0.94
17,1:0,1:0,,1
18,1:0,1:0,,0.726
19,1:0,1:0,,1
20,1:0,1:0,,0.849
21,1:0,1:0,,0.92
22,1:0,2:1,+,0.519
23,1:0,1:0,,0.82
24,1:0,1:0,,0.9
25,1:0,1:0,,0.94
26,1:0,1:0,,0.963
27,1:0,1:0,,0.963
28,1:0,1:0,,0.89
29,1:0,1:0,,0.73
30,1:0,1:0,,0.963
31,1:0,1:0,,0.964
32,1:0,1:0,,0.837
33,1:0,1:0,,0.91
34,1:0,1:0,,0.72
35,1:0,1:0,,0.926
36,1:0,1:0,,1
37,1:0,1:0,,0.99
38,1:0,1:0,,0.963
39,1:0,1:0,,0.84
40,1:0,1:0,,0.963
41,1:0,1:0,,0.955
42,1:0,1:0,,0.963
43,1:0,1:0,,0.847
44,1:0,1:0,,0.698
45,1:0,1:0,,0.902
46,1:0,1:0,,0.99
47,1:0,1:0,,1
48,1:0,1:0,,0.938
49,1:0,1:0,,0.849
50,1:0,1:0,,0.58
51,1:0,1:0,,0.963
52,1:0,1:0,,0.963
53,1:0,1:0,,0.799
54,1:0,1:0,,0.773
55,1:0,1:0,,0.927
56,1:0,1:0,,1
57,1:0,1:0,,0.748
58,1:0,1:0,,0.901
59,1:0,1:0,,0.829
60,1:0,1:0,,0.9
61,1:0,1:0,,0.918
62,1:0,1:0,,0.925
63,1:0,1:0,,1
64,1:0,1:0,,0.959
65,1:0,1:0,,0.963
66,1:0,1:0,,0.93
67,1:0,1:0,,1
68,1:0,1:0,,0.963
69,1:0,1:0,,0.963
70,1:0,1:0,,0.99
71,1:0,1:0,,0.919
72,1:0,1:0,,0.963
73,1:0,1:0,,0.758
74,1:0,1:0,,0.959
75,1:0,1:0,,0.963
76,1:0,2:1,+,1
77,1:0,1:0,,0.963
78,1:0,1:0,,0.756
79,1:0,1:0,,0.837
80,1:0,1:0,,0.911
81,1:0,1:0,,0.963
82,1:0,1:0,,0.958
83,1:0,1:0,,0.99
84,1:0,1:0,,0.678
85,1:0,1:0,,0.99
86,1:0,1:0,,0.82
87,1:0,1:0,,0.559
88,1:0,1:0,,0.87
89,1:0,1:0,,0.517
90,1:0,1:0,,0.949
91,1:0,1:0,,1
92,2:1,2:1,,1
93,2:1,2:1,,0.61
94,2:1,2:1,,0.594
95,2:1,2:1,,0.83
96,2:1,2:1,,0.65
97,2:1,2:1,,0.641
98,2:1,2:1,,1
99,2:1,2:1,,1
100,2:1,2:1,,1
101,2:1,2:1,,0.951
102,2:1,2:1,,0.913
103,2:1,2:1,,0.515
104,2:1,2:1,,1
105,2:1,2:1,,0.98
106,2:1,2:1,,0.82
107,2:1,2:1,,0.76
108,2:1,2:1,,1
109,2:1,2:1,,0.853
110,2:1,2:1,,0.99
111,2:1,2:1,,0.82
112,2:1,2:1,,0.63
113,2:1,1:0,+,0.662
114,2:1,1:0,+,0.5
115,2:1,2:1,,0.517
116,2:1,2:1,,0.98
117,2:1,2:1,,0.913
118,2:1,2:1,,0.721
119,2:1,2:1,,0.86
120,2:1,2:1,,0.64
121,2:1,2:1,,0.939
122,2:1,2:1,,0.725
123,2:1,2:1,,1
124,2:1,2:1,,1
125,2:1,1:0,+,0.779
126,2:1,2:1,,0.88
127,2:1,2:1,,0.82
128,2:1,2:1,,0.851
129,2:1,2:1,,0.781
130,2:1,2:1,,0.98
131,2:1,2:1,,0.94
132,2:1,2:1,,0.952
133,2:1,2:1,,0.97
134,2:1,2:1,,1
135,2:1,2:1,,0.75
136,2:1,2:1,,0.77
137,2:1,2:1,,0.75
138,2:1,2:1,,1
139,2:1,2:1,,0.952
140,2:1,2:1,,0.853
141,2:1,2:1,,0.8
142,2:1,2:1,,1
143,2:1,2:1,,0.75
144,2:1,1:0,+,0.58
145,2:1,1:0,+,0.71
146,2:1,2:1,,0.778
147,2:1,2:1,,0.54
148,2:1,2:1,,0.92
149,2:1,1:0,+,1
150,2:1,2:1,,1
151,2:1,2:1,,0.72
152,2:1,2:1,,0.904
153,2:1,2:1,,0.859
154,2:1,2:1,,0.91
155,2:1,2:1,,0.87
1,1:0,1:0,,1
