inst#,actual,predicted,error,prediction
1,2:1,2:1,,1
2,1:0,1:0,,0.999
3,2:1,2:1,,1
4,1:0,1:0,,1
5,2:1,1:0,+,1
6,1:0,1:0,,1
7,2:1,2:1,,1
8,1:0,1:0,,0.999
9,1:0,1:0,,0.999
10,1:0,1:0,,1
11,1:0,1:0,,0.997
12,1:0,1:0,,1
13,1:0,1:0,,1
14,2:1,2:1,,0.717
15,1:0,1:0,,0.999
16,1:0,1:0,,1
17,1:0,1:0,,0.94
18,1:0,1:0,,0.999
19,1:0,1:0,,0.978
20,1:0,1:0,,1
21,1:0,1:0,,0.999
22,2:1,2:1,,0.986
23,1:0,1:0,,0.999
24,2:1,2:1,,0.935
25,1:0,1:0,,1
26,1:0,1:0,,1
27,2:1,2:1,,1
28,1:0,1:0,,1
29,1:0,1:0,,1
30,2:1,2:1,,1
31,2:1,2:1,,1
32,1:0,1:0,,0.999
33,1:0,1:0,,1
34,2:1,2:1,,0.837
35,1:0,1:0,,0.999
36,1:0,1:0,,0.997
37,2:1,2:1,,0.585
38,2:1,2:1,,1
39,1:0,1:0,,1
40,2:1,2:1,,0.757
41,2:1,1:0,+,0.74
42,2:1,1:0,+,0.974
43,1:0,1:0,,1
44,1:0,1:0,,1
45,2:1,2:1,,1
46,1:0,1:0,,1
47,2:1,1:0,+,0.997
48,1:0,1:0,,1
49,1:0,1:0,,1
50,1:0,1:0,,1
51,2:1,2:1,,1
52,2:1,1:0,+,0.875
53,2:1,2:1,,0.837
54,2:1,2:1,,1
55,2:1,1:0,+,0.866
56,1:0,1:0,,0.991
57,1:0,1:0,,1
58,2:1,1:0,+,0.998
59,1:0,1:0,,0.997
60,1:0,2:1,+,1
61,1:0,1:0,,1
62,1:0,1:0,,1
63,2:1,2:1,,0.99
64,2:1,2:1,,1
65,2:1,2:1,,1
66,2:1,2:1,,1
67,1:0,1:0,,1
68,1:0,1:0,,1
69,1:0,1:0,,1
70,1:0,1:0,,1
71,1:0,1:0,,0.998
72,1:0,1:0,,0.997
73,2:1,2:1,,1
74,2:1,1:0,+,0.85
75,2:1,1:0,+,0.973
76,2:1,1:0,+,0.861
77,1:0,1:0,,1
78,1:0,1:0,,0.999
79,1:0,1:0,,1
80,1:0,1:0,,1
81,1:0,1:0,,0.999
82,2:1,2:1,,0.958
83,1:0,1:0,,0.999
84,2:1,2:1,,0.898
85,2:1,2:1,,1
86,2:1,1:0,+,0.701
87,2:1,2:1,,0.871
88,2:1,1:0,+,0.949
89,1:0,1:0,,0.995
90,1:0,1:0,,0.999
91,1:0,1:0,,0.999
92,1:0,2:1,+,1
93,2:1,2:1,,0.995
94,1:0,1:0,,0.999
95,1:0,1:0,,1
96,1:0,1:0,,1
97,1:0,1:0,,1
98,1:0,1:0,,1
99,2:1,2:1,,1
100,1:0,1:0,,0.999
101,2:1,2:1,,0.59
102,1:0,1:0,,1
103,1:0,1:0,,0.999
104,2:1,2:1,,1
105,2:1,1:0,+,0.61
106,1:0,1:0,,0.999
107,2:1,2:1,,0.509
108,1:0,1:0,,1
109,1:0,1:0,,1
110,1:0,1:0,,0.98
111,1:0,1:0,,1
112,1:0,1:0,,1
113,1:0,1:0,,1
114,1:0,1:0,,0.999
115,2:1,2:1,,1
116,1:0,1:0,,1
117,2:1,1:0,+,0.88
118,1:0,1:0,,1
119,2:1,2:1,,1
120,1:0,1:0,,0.999
121,2:1,2:1,,1
122,1:0,1:0,,1
123,1:0,1:0,,0.997
124,2:1,2:1,,1
125,1:0,1:0,,0.999
126,2:1,2:1,,1
127,2:1,1:0,+,0.579
128,1:0,1:0,,1
129,1:0,1:0,,0.921
130,2:1,2:1,,1
131,2:1,1:0,+,0.987
132,1:0,1:0,,0.999
133,1:0,1:0,,1
134,1:0,1:0,,1
135,2:1,2:1,,1
136,1:0,1:0,,0.999
137,2:1,2:1,,0.999
